<<<<<<< HEAD
id,name,qty,desc,producer,location,status,inputDate,outputDate
ABC2345,KABYLAKE,1000,desc,Intel,1,input,10/1/2018,12/1/2018
XYZ2345,iPhoneX,2000,desc,Apple,2,input,10/1/2018,12/1/2018
ABC3456,GalaxyS8,500,desc,Samsung,3,output,10/1/2018,12/1/2018
ABC2345,KABYLAKE,1000,desc,Intel,1,input,10/1/2018,12/1/2018
XYZ2345,iPhoneX,2000,desc,Apple,2,input,10/1/2018,12/1/2018
ABC3456,GalaxyS8,500,desc,Samsung,3,output,10/1/2018,12/1/2018
ABC2345,KABYLAKE,1000,desc,Intel,1,input,10/1/2018,12/1/2018
XYZ2345,iPhoneX,2000,desc,Apple,2,input,10/1/2018,12/1/2018
ABC3456,GalaxyS8,500,desc,Samsung,3,output,10/1/2018,12/1/2018
ABC2345,KABYLAKE,1000,desc,Intel,1,input,10/1/2018,12/1/2018
XYZ2345,iPhoneX,2000,desc,Apple,2,input,10/1/2018,12/1/2018
ABC3456,GalaxyS8,500,desc,Samsung,3,output,10/1/2018,12/1/2018
ABC2345,KABYLAKE,1000,desc,Intel,1,input,10/1/2018,12/1/2018
XYZ2345,iPhoneX,2000,desc,Apple,2,input,10/1/2018,12/1/2018
ABC3456,GalaxyS8,500,desc,Samsung,3,output,10/1/2018,12/1/2018
ABC2345,KABYLAKE,1000,desc,Intel,1,input,10/1/2018,12/1/2018
XYZ2345,iPhoneX,2000,desc,Apple,2,input,10/1/2018,12/1/2018
ABC3456,GalaxyS8,500,desc,Samsung,3,output,10/1/2018,12/1/2018


=======
id,name,qty,desc,producer,location,status,inputDate,outputDate,image
01,Samsung Galaxy S8,0,Samsung Phone,Samsung,1,Good,10/01/2018,20/01/2018,image/samsunggalaxys8.jpg
<<<<<<< HEAD
02,Samsung Galaxy S8,20,Samsung Phone,Samsung,1,Good,10/01/2018,20/01/2018,image/samsunggalaxys8.jpg
03,Samsung Galaxy S8,30,Samsung Phone,Samsung,1,Good,10/01/2018,20/01/2018,image/samsunggalaxys8.jpg
04,Samsung Galaxy S8,9,Samsung Phone,Samsung,1,Good,10/01/2018,20/01/2018,image/ic_user.png
05,Samsung Galaxy S8,20,Samsung Phone,Samsung,1,Good,10/01/2018,20/01/2018,image/samsunggalaxys8.jpg
06,Samsung Galaxy S8,20,Samsung Phone,Samsung,1,Good,10/01/2018,20/01/2018,image/samsunggalaxys8.jpg
07,iPhone 8,20,Samsung Phone,Samsung,1,Good,10/01/2018,20/01/2018,image/samsunggalaxys8.jpg
08,Samsung Galaxy S8,20,Samsung Phone,Samsung,1,Good,10/01/2018,20/01/2018,image/samsunggalaxys8.jpg
09,Samsung Galaxy S8,20,Samsung Phone,Samsung,1,Good,10/01/2018,20/01/2018,image/samsunggalaxys8.jpg
10,Samsung Galaxy S8,20,Samsung Phone,Samsung,1,Good,10/01/2018,20/01/2018,image/samsunggalaxys8.jpg
11,Samsung Galaxy S8,20,Samsung Phone,Samsung,1,Good,10/01/2018,20/01/2018,image/samsunggalaxys8.jpg
12,Samsung Galaxy S8,20,Samsung Phone,Samsung,1,Good,10/01/2018,20/01/2018,image/samsunggalaxys8.jpg
